ResourceName,ResourceId,ResourceType,ResourceGroup,ResourceGroupId,ResourceLocation,Subscription,SubscriptionId,Tags,ServiceName,ServiceTier,Meter,Cost,CostUSD,Currency
aks-agentpool-40540486-vmss,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-40540486-vmss,Virtual machine scale set,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,"Intercontinental, Asia, IN Central",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",Virtual Machines,Dadsv5 Series,D2ads v5,191.5524287,2.334403884,INR
aks-agentpool-40540486-vmss,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-40540486-vmss,Virtual machine scale set,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,"Intercontinental, Asia, IN Central",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",Bandwidth,Inter-Region,Intra Continent Data Transfer Out,0.06385905,0.000778235,INR
aks-agentpool-40540486-vmss,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-40540486-vmss,Virtual machine scale set,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,"Intercontinental, Asia, IN Central",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",Bandwidth,Inter-Region,Inter Continent Data Transfer Out - ASIA To Any,0.043756516,0.00053325,INR
aks-agentpool-40540486-vmss,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-40540486-vmss,Virtual machine scale set,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,"Intercontinental, Asia, IN Central",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",Bandwidth,,Standard Data Transfer Out,0.018650434,0.000227288,INR
vault-pe,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.network/privateendpoints/vault-pe,Private endpoint,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Virtual Network,Private Link,Standard Private Endpoint,149.551285,1.822545936,INR
kubernetes,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.network/loadbalancers/kubernetes,Load balancer,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-cluster-name\"":\""readit-card-aks\"""",""\""aks-managed-cluster-rg\"":\""rg_memilavi_readitapp\""""]",Load Balancer,Standard,Standard Included LB Rules and Outbound Rules,117.3016081,1.429526795,INR
kubernetes,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.network/loadbalancers/kubernetes,Load balancer,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-cluster-name\"":\""readit-card-aks\"""",""\""aks-managed-cluster-rg\"":\""rg_memilavi_readitapp\""""]",Load Balancer,Standard,Standard Data Processed,0.50455696,0.006148916,INR
log-redaitapp-ws,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.operationalinsights/workspaces/log-redaitapp-ws,Log Analytics workspace,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,[],Log Analytics,,Pay-as-you-go Data Ingestion,109.0834708,1.329374311,INR
interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/virtualmachines/interstellar,Virtual machine,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,"IN Central, Asia, Intercontinental",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Virtual Machines,Dv3/DSv3 Series,D4 v3/D4s v3,73.11609228,0.885490922,INR
interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/virtualmachines/interstellar,Virtual machine,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,"IN Central, Asia, Intercontinental",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Bandwidth,,Standard Data Transfer Out,2.219240167,0.026876669,INR
interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/virtualmachines/interstellar,Virtual machine,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,"IN Central, Asia, Intercontinental",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Bandwidth,Inter-Region,Inter Continent Data Transfer Out - ASIA To Any,0.037616179,0.00045556,INR
interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar/providers/microsoft.compute/virtualmachines/interstellar,Virtual machine,rg_subhasish_interstellar,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_subhasish_interstellar,"IN Central, Asia, Intercontinental",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""#subhasish-vm\"":\""interstellar\""""]",Bandwidth,Inter-Region,Intra Continent Data Transfer Out,0.005305964,6.42592E-05,INR
aks-agentpool-405404aks-agentpool-4054048os__1_c6cfe12c47ec4856a6c2e0ae517353e5,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia/providers/microsoft.compute/disks/aks-agentpool-405404aks-agentpool-4054048os__1_c6cfe12c47ec4856a6c2e0ae517353e5,Disk,mc_rg_memilavi_readitapp_readit-card-aks_centralindia,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/mc_rg_memilavi_readitapp_readit-card-aks_centralindia,IN Central,Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""aks-managed-createoperationid\"":\""e41c1b09-ae7f-44cd-9d19-7552743a4ce5\"""",""\""aks-managed-creationsource\"":\""vmssclient-aks-agentpool-40540486-vmss\"""",""\""aks-managed-kubeletidentityclientid\"":\""80c68022-5f0a-4639-ab10-e3691afbfd16\"""",""\""aks-managed-orchestrator\"":\""kubernetes:1.25.6\"""",""\""aks-managed-poolname\"":\""agentpool\"""",""\""aks-managed-resourcenamesuffix\"":\""40026033\"""",""\""aks-managed-consolidated-additional-properties\"":\""e3177e84-2b6a-11ee-8103-a22f9bf481b7\"""",""\""aks-managed-coordination\"":\""true\""""]",Storage,Premium SSD Managed Disks,P10 LRS Disk,74.89431912,0.912719252,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",Virtual Machines,BS Series Windows,B2ms,57.11519537,0.694676491,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",Bandwidth,,Standard Data Transfer Out,0.171994899,0.002089533,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",Bandwidth,Inter-Region,Inter Continent Data Transfer Out - ASIA To Any,0.008603528,0.000104378,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",Bandwidth,Inter-Region,Intra Continent Data Transfer Out,0.000860075,1.04507E-05,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",Virtual Network,Private Link,Standard Data Processed - Ingress,0.00014373,1.7516E-06,INR
catalog-vm,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp/providers/microsoft.compute/virtualmachines/catalog-vm,Virtual machine,rg_memilavi_readitapp,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/rg_memilavi_readitapp,"Intercontinental, IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""env\"":\""test\"""",""\""group\"":\""a-team\""""]",Virtual Network,Private Link,Standard Data Processed - Egress,3.69757E-05,4.50614E-07,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Files,LRS Data Stored,27.65233185,0.335736829,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Tiered Block Blob,All Other Operations,0.064583482,0.000785264,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Tiered Block Blob,Hot LRS Write Operations,0.05831186,0.00070817,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Tiered Block Blob,LRS List and Create Container Operations,0.055720221,0.000676718,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Tiered Block Blob,Hot LRS Data Stored,0.02574675,0.0003126,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Tables,Batch Write Operations,0.011792251,0.000143174,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Bandwidth,Inter-Region,Intra Continent Data Transfer Out,0.004178044,5.07416E-05,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Storage,Files v2,LRS Metadata,0.001534077,1.86258E-05,INR
lrsalstomsubhasishml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml/providers/microsoft.storage/storageaccounts/lrsalstomsubhasishml,Storage account,alstom_ml,/subscriptions/ab47d4c6-aa42-4b26-95fa-953b8ed93a69/resourcegroups/alstom_ml,"IN Central, Asia",Visual Studio Professional Subscription,ab47d4c6-aa42-4b26-95fa-953b8ed93a69,"[""\""subhasishazurelearning\"":\""ml\""""]",Bandwidth,Inter-Region,Intra Continent Data Transfer In,0,0,INR
